Tubular Bells	-30	-30	-30

	Hits
	Technique
Vibraphone	-25

	Hits	Rolls
	Technique	Technique
Xylophone	-20	-25

	Hits	Rolls
	Technique	Technique
Glockenspiel	-35	-30

	Hits	Hits Bowed
	Technique	Technique
Crotales	-20	-20

	Anvil	Bass Drum 1	Bass Drum 2	Cymbal	Military Drum	Piatti	Snare 1 Hit	Snare 2 Hit	Tam Tam	Tambourine	Tenor Drum Hit	Toys	Triangle Hit
	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique	Technique
Untuned Percussion	-15	-20	-25	-30	-25	-30	-10	-10	-25	-25	-20	-25	-25

	Toys
	Technique
Toys Castanets	-25
Toys Woodblock	-25
Toys Vibraslap	-25
Toys Sleigh Bells	-25
Toys Long Guiro	-40
Toys Short Guiro	-30
Toys Cowbell	-15
